MaxReturn,LossAfter,MeanKLBefore,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,AveragePolicyStd,Perplexity,MeanKL,ExplainedVariance,AverageReturn
315.287219179,-0.00763725082808,0.00176354974786,0.00719533802482,21,0,53.255908558,-1.73305710737,88.7928421282,-0.000441912803266,1.4189385332,1.0,4.13273135412,0.00721045861786,1.59025015378e-11,131.242340703
446.085789121,-0.00601139973508,0.00218515397203,0.00811798186319,23,1,52.2272431642,42.1902587704,101.609787936,0.00210658212811,1.40385933196,0.985033920598,4.07088056853,0.00719375325191,0.456334086996,132.198807735
450.945077085,-0.00530008749681,0.00302653105669,0.00590935534632,15,2,56.9978810888,54.4441011523,139.928739817,0.000609267849511,1.38007787214,0.961884727799,3.97521117362,0.00961020686425,0.481856523309,208.725824702
474.570854223,0.00240854687218,0.00266467961161,3.89220248838e-05,12,3,66.379315913,68.0861501242,141.50094347,0.00244746889707,1.36470408824,0.947210011847,3.9145645149,0.00301760137018,0.555122860977,283.149625113
478.318790863,0.00277891705821,0.00259209541784,0.0,14,4,54.7400653064,20.3185700733,164.883743432,0.00277891705821,1.3630036331,0.945600692394,3.90791362994,0.00259209541784,0.553003996697,231.702644777
473.689549806,-0.00163218407341,0.00253410512072,0.00287532968444,15,5,55.0463246474,31.2753729858,167.941794892,0.00124314561103,1.3630036331,0.945600692394,3.90791362994,0.00613346584725,0.488920217115,209.448271971
473.317180649,0.00137605304106,0.00255544748499,0.0,14,6,63.510796337,55.980641399,151.430624801,0.00137605304106,1.35791091674,0.940797257918,3.88806232567,0.00255544748499,0.523651506857,242.328069306
472.110898196,-0.00249885786905,0.00281037426147,0.00387819263982,19,7,66.5489656357,60.4632471756,124.749142182,0.00137933477077,1.35791091674,0.940797257918,3.88806232567,0.00781218350837,0.516585878961,186.563210668
434.605949742,0.000229846178739,0.00221695462228,0.00227811058517,12,8,77.9777813589,116.425224093,106.841294573,0.00250795676391,1.33889303721,0.923074349247,3.81481830532,0.00838832624043,0.415909255261,295.377307085
419.053987391,0.00175469391511,0.00220782475004,0.0,16,9,70.6977154463,6.1196171638,122.761500487,0.00175469391511,1.33643616424,0.920809256487,3.80545728545,0.00220782475004,0.49699524371,207.473529815
